id,occurrence_date,occurrence_year,occurrence_month,occurrence_day_of_week,occurrence_hour,neighbourhood_name,premises_type
1,2017-10-03T00:00:00Z,2017,October,Tuesday,14,Kingsway South (15),Outside
2,2017-11-08T00:00:00Z,2017,November,Wednesday,3,Kingsway South (15),House
3,2018-09-14T00:00:00Z,2018,September,Friday,9,Kingsway South (15),Transit
4,2015-05-07T00:00:00Z,2015,May,Thursday,18,Kingsway South (15),Transit
5,2015-05-16T00:00:00Z,2015,May,Saturday,12,Kingsway South (15),Transit
6,2015-09-01T00:00:00Z,2015,September,Tuesday,0,Kingsway South (15),Outside
7,2016-02-18T00:00:00Z,2016,February,Thursday,9,Kingsway South (15),Transit
8,2019-05-01T00:00:00Z,2019,May,Wednesday,13,Kingsway South (15),Transit
9,2017-09-06T00:00:00Z,2017,September,Wednesday,8,Kingsway South (15),Transit
10,2014-05-07T00:00:00Z,2014,May,Wednesday,18,Kingsway South (15),Outside
11,2014-06-21T00:00:00Z,2014,June,Saturday,12,Kingsway South (15),House
12,2014-07-24T00:00:00Z,2014,July,Thursday,9,Kingsway South (15),Outside
13,2016-10-14T00:00:00Z,2016,October,Friday,13,Kingsway South (15),Outside
14,2016-11-02T00:00:00Z,2016,November,Wednesday,1,Kingsway South (15),Other
15,2016-11-02T00:00:00Z,2016,November,Wednesday,1,Kingsway South (15),Other
16,2016-11-18T00:00:00Z,2016,November,Friday,8,Kingsway South (15),Transit
17,2020-08-03T00:00:00Z,2020,August,Monday,20,Kingsway South (15),House
18,2020-08-03T00:00:00Z,2020,August,Monday,20,Kingsway South (15),House
19,2018-07-13T00:00:00Z,2018,July,Friday,19,Islington-City Centre West (14),House
20,2020-08-25T00:00:00Z,2020,August,Tuesday,14,Kingsway South (15),Outside
21,2017-09-06T00:00:00Z,2017,September,Wednesday,8,Kingsway South (15),Transit
22,2018-07-27T00:00:00Z,2018,July,Friday,10,Kingsway South (15),Transit
23,2015-08-08T00:00:00Z,2015,August,Saturday,14,Kingsway South (15),Other
24,2016-05-05T00:00:00Z,2016,May,Thursday,10,Kingsway South (15),Educational
25,2016-07-21T00:00:00Z,2016,July,Thursday,8,Kingsway South (15),Transit
26,2017-01-10T00:00:00Z,2017,January,Tuesday,11,Stonegate-Queensway (16),Apartment
27,2017-02-23T00:00:00Z,2017,February,Thursday,18,Stonegate-Queensway (16),Commercial
28,2017-09-16T00:00:00Z,2017,September,Saturday,23,Stonegate-Queensway (16),Outside
29,2017-09-26T00:00:00Z,2017,September,Tuesday,3,Stonegate-Queensway (16),House
30,2017-10-13T00:00:00Z,2017,October,Friday,0,Stonegate-Queensway (16),House
31,2017-11-11T00:00:00Z,2017,November,Saturday,22,Stonegate-Queensway (16),House
32,2018-09-17T00:00:00Z,2018,September,Monday,8,Stonegate-Queensway (16),Other
33,2019-03-21T00:00:00Z,2019,March,Thursday,17,Stonegate-Queensway (16),House
34,2019-05-08T00:00:00Z,2019,May,Wednesday,9,Stonegate-Queensway (16),Educational
35,2019-06-20T00:00:00Z,2019,June,Thursday,3,Stonegate-Queensway (16),Apartment
36,2019-07-04T00:00:00Z,2019,July,Thursday,13,Stonegate-Queensway (16),Outside
37,2019-09-01T00:00:00Z,2019,September,Sunday,20,Stonegate-Queensway (16),Other
38,2019-09-01T00:00:00Z,2019,September,Sunday,20,Stonegate-Queensway (16),Other
39,2020-05-11T00:00:00Z,2020,May,Monday,23,Stonegate-Queensway (16),Other
40,2020-07-24T00:00:00Z,2020,July,Friday,22,Stonegate-Queensway (16),Commercial
41,2020-08-10T00:00:00Z,2020,August,Monday,23,Stonegate-Queensway (16),Other
